point_id,latitude,longitude,altitude_m,distance_from_start_m,slope_deg,bearing_deg,segment_length_m,data_source
0,-26.814,27.8297,1482.0,0.0,0.0,302.54,0.0,hardcoded-waypoints+spline-elevation
1,-26.813033,27.828001,1482.28,200.0,0.0808,302.54,200.0,hardcoded-waypoints+spline-elevation
2,-26.812065,27.826303,1482.56,400.0,0.0796,302.54,200.0,hardcoded-waypoints+spline-elevation
3,-26.811098,27.824604,1482.83,599.9,0.0785,302.54,200.0,hardcoded-waypoints+spline-elevation
4,-26.81013,27.822905,1483.1,799.9,0.0774,302.54,200.0,hardcoded-waypoints+spline-elevation
5,-26.809163,27.821206,1483.37,999.9,0.0763,302.54,200.0,hardcoded-waypoints+spline-elevation
6,-26.808195,27.819508,1483.63,1199.9,0.0752,302.54,200.0,hardcoded-waypoints+spline-elevation
7,-26.807228,27.817809,1483.89,1399.9,0.0742,302.54,200.0,hardcoded-waypoints+spline-elevation
8,-26.80626,27.81611,1484.15,1599.9,0.0732,302.54,200.0,hardcoded-waypoints+spline-elevation
9,-26.805293,27.814411,1484.4,1799.9,0.0722,302.54,200.0,hardcoded-waypoints+spline-elevation
10,-26.804326,27.812713,1484.65,1999.8,0.0712,302.54,200.0,hardcoded-waypoints+spline-elevation
11,-26.803358,27.811014,1484.89,2199.8,0.0702,302.54,200.0,hardcoded-waypoints+spline-elevation
12,-26.802391,27.809315,1485.13,2399.8,0.0693,302.54,200.0,hardcoded-waypoints+spline-elevation
13,-26.801423,27.807617,1485.37,2599.8,0.0684,302.54,200.0,hardcoded-waypoints+spline-elevation
14,-26.800456,27.805918,1485.61,2799.8,0.0675,302.54,200.0,hardcoded-waypoints+spline-elevation
15,-26.799488,27.804219,1485.84,2999.8,0.0666,302.54,200.0,hardcoded-waypoints+spline-elevation
16,-26.798521,27.80252,1486.07,3199.8,0.0658,302.54,200.0,hardcoded-waypoints+spline-elevation
17,-26.797553,27.800822,1486.3,3399.8,0.0649,302.54,200.0,hardcoded-waypoints+spline-elevation
18,-26.796586,27.799123,1486.52,3599.8,0.0641,302.54,200.0,hardcoded-waypoints+spline-elevation
19,-26.795618,27.797424,1486.74,3799.8,0.0634,302.54,200.0,hardcoded-waypoints+spline-elevation
20,-26.794651,27.795725,1486.96,3999.8,0.0626,302.54,200.0,hardcoded-waypoints+spline-elevation
